stop_id,stop_name,stop_lat,stop_lon
ALSA_057,Al Salam Stop 57,31.259754,32.297781
ALSA_058,Al Salam Stop 58,31.261267,32.298918
ALSA_059,Al Salam Stop 59,31.261783,32.300363
ALSA_060,Al Salam Stop 60,31.260807,32.302130
ALSA_061,Al Salam Stop 61,31.259817,32.303887
ALSA_062,Al Salam Stop 62,31.259077,32.305571
ALSA_063,Al Salam Stop 63,31.259953,32.306218
FERRY_001,Ferry Port Fouad Port Said Stop 1,31.254245,32.313818
FERRY_002,Ferry Port Fouad Port Said Stop 2,31.255835,32.312834
FERRY_003,Ferry Port Fouad Port Said Stop 3,31.257425,32.311850
FERRY_004,Ferry Port Fouad Port Said Stop 4,31.259015,32.310867
FERRY_005,Ferry Port Fouad Port Said Stop 5,31.259309,32.310684
ALMA_001,Al Maashat Stop 1,31.254283,32.315405
ALMA_002,Al Maashat Stop 2,31.252924,32.315915
ALMA_003,Al Maashat Stop 3,31.251205,32.316362
ALMA_004,Al Maashat Stop 4,31.249445,32.316794
ALMA_005,Al Maashat Stop 5,31.248136,32.317850
ALMA_006,Al Maashat Stop 6,31.247160,32.319617
ALMA_007,Al Maashat Stop 7,31.246194,32.321392
ALMA_008,Al Maashat Stop 8,31.244739,32.321798
ALMA_009,Al Maashat Stop 9,31.242984,32.321335
ALMA_010,Al Maashat Stop 10,31.241242,32.320833
ALMA_011,Al Maashat Stop 11,31.239492,32.320349
ALMA_012,Al Maashat Stop 12,31.237801,32.319735
ALMA_013,Al Maashat Stop 13,31.236317,32.318547
